image_path,identity
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\113703.jpg,5127
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\072619.jpg,5127
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\066968.jpg,7222
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\114878.jpg,7222
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\094978.jpg,1435
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\102029.jpg,1435
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\141942.jpg,5246
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\127906.jpg,5246
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\141409.jpg,7524
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\106752.jpg,7524
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\104666.jpg,975
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\103570.jpg,975
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\085267.jpg,4150
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\104557.jpg,4150
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\118209.jpg,7422
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\049400.jpg,7422
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\130620.jpg,5672
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\001460.jpg,5672
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\057474.jpg,7338
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\089135.jpg,7338
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\084575.jpg,6806
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\116441.jpg,6806
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\137836.jpg,2926
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\058996.jpg,2926
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\146797.jpg,5747
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\025636.jpg,5747
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\142815.jpg,5238
D:\Bartek\coding\biometria\facial_auth\celeba_subset\img_align_celeba\068076.jpg,5238
